id,case_id,case_po,file_name,box_file_id,created_at,excluded,accepted_for_eva
4da48dbc-3546-43f3-a7b6-c2fa0b83cac5,0e5b04d6-45e3-4121-836c-6fcb9a06c472,ACSP26002,202607061644__RJS_UnknownVRM_img_1_1.png,2330910244760,2026-07-06 15:45:46.412746+00,f,f
2c5dab80-b226-4314-a10e-b6595a958154,0e5b04d6-45e3-4121-836c-6fcb9a06c472,ACSP26002,202607061644__RJS_UnknownVRM_img_1_1.png,2330910244760,2026-07-06 15:45:55.387087+00,f,f
fde0e2ee-5b2d-44fa-b219-e4f962bd510d,0e5b04d6-45e3-4121-836c-6fcb9a06c472,ACSP26002,202607061644__RJS_UnknownVRM_img_2_2.png,2330905605322,2026-07-06 15:45:46.417173+00,f,f
ee376dd9-c655-44ab-a431-3df6d10c5f5f,0e5b04d6-45e3-4121-836c-6fcb9a06c472,ACSP26002,202607061644__RJS_UnknownVRM_img_2_2.png,2330905605322,2026-07-06 15:45:55.488116+00,f,f
a700aed1-0468-405d-b89d-ed6a9d7c2fe2,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_1_1.jpeg,2332623332685,2026-07-07 11:07:10.897093+00,f,t
708f3942-bc16-405f-a60f-a16f46d29f52,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_1_1.jpeg,2332623332685,2026-07-07 11:07:22.875993+00,f,t
909a9157-ea3d-4223-97e9-e07b4cf8236c,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_1_3.jpeg,2332599599960,2026-07-07 11:07:10.914043+00,f,t
4d647270-a454-4153-a897-c339ff05bbb7,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_1_3.jpeg,2332599599960,2026-07-07 11:07:28.643203+00,f,t
6852d83d-88b0-4f37-b6c1-5910a4988239,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_1_5.jpeg,2332603761004,2026-07-07 11:07:10.922464+00,f,f
a1f21247-c90c-41f5-95ec-a5d943f50310,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_1_5.jpeg,2332603761004,2026-07-07 11:07:29.611343+00,f,f
d7a958af-47ad-4d35-b07c-d37cb3dbf293,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_2_6.jpeg,2332622906338,2026-07-07 11:07:10.928503+00,f,f
5de8e50d-99ff-43fe-9a7f-236deb50fa19,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_2_6.jpeg,2332622906338,2026-07-07 11:07:31.390452+00,f,f
7a8e6212-0957-46b9-b9cc-4d8c95adede5,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_3_7.jpeg,2332623714850,2026-07-07 11:07:10.932537+00,f,f
0babd961-dd0e-45a7-8dd9-6b385248dca6,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_3_7.jpeg,2332623714850,2026-07-07 11:07:33.401218+00,f,f
b784a10a-c9af-43b2-89e3-1a6809c5a234,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_4_10.jpeg,2332605956738,2026-07-07 11:07:10.948672+00,f,f
2df33300-6b33-4ebf-82f4-9070b44ee1d9,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_4_10.jpeg,2332605956738,2026-07-07 11:07:41.657771+00,f,f
c3763909-050a-4e3b-bd4d-2565d031d018,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_4_9.jpeg,2332623772704,2026-07-07 11:07:10.942521+00,f,t
a05412ab-8ca8-42d7-aa72-7767aed53e3c,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_4_9.jpeg,2332623772704,2026-07-07 11:07:40.463016+00,f,t
235bdaec-e8c5-46a8-b473-e7162e4e36bb,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_5_11.jpeg,2332620323528,2026-07-07 11:07:10.952869+00,f,t
ac8a2079-aed9-4062-b7cd-4ba5bb2f501f,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_5_11.jpeg,2332620323528,2026-07-07 11:07:40.544+00,f,t
b4b42a2f-8e2f-4c47-8f47-fbf11f3946d0,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_5_12.jpeg,2332623227154,2026-07-07 11:07:10.956472+00,f,t
1de994f0-4402-447f-9f6e-2a065ff3bd54,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_5_12.jpeg,2332623227154,2026-07-07 11:07:43.394373+00,f,t
28e42dbe-4b1e-4858-959a-d9c58821d7ce,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_5_13.jpeg,2332612587615,2026-07-07 11:07:10.96045+00,f,f
93958c76-9cec-4eeb-acb2-e22174fc2d61,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_5_13.jpeg,2332612587615,2026-07-07 11:07:44.785536+00,f,f
85377f67-42bd-4919-bbfc-03d35ee86642,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_6_15.jpeg,2332624196635,2026-07-07 11:07:10.968457+00,f,f
b06a774a-7832-4a14-b4fe-6c08557fae2c,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_6_15.jpeg,2332624196635,2026-07-07 11:07:48.089812+00,f,f
8bf02fdc-098d-4d38-8957-9e97513a90ca,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_7_16.jpeg,2332624024704,2026-07-07 11:07:10.972858+00,f,f
f719ed43-3614-464d-aec2-54ba30546122,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_7_16.jpeg,2332624024704,2026-07-07 11:07:49.340917+00,f,f
47e8af56-a157-4b3e-9ef1-ccd4e4ea8cc2,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_8_17.jpeg,2332617301958,2026-07-07 11:07:10.976674+00,f,f
b48859c1-47a4-432d-88d9-8c88053cf095,f5d53f28-bfdc-4285-9e23-b5dc502bf750,ALS26001,SE06SFJ__RJS_UnknownVRM_img_8_17.jpeg,2332617301958,2026-07-07 11:07:52.243741+00,f,f
99e3d004-a7b0-4d71-a85a-d2ddd77d01ce,8ff53cd5-4fcc-4a94-9344-9f48ffdc264a,ALS26003,images - cvd__RJS_UnknownVRM_img_1_1.jpeg,2332353028549,2026-07-07 08:22:43.323942+00,f,t
d13b8998-f253-4f99-adb9-301ca1826072,8ff53cd5-4fcc-4a94-9344-9f48ffdc264a,ALS26003,images - cvd__RJS_UnknownVRM_img_1_1.jpeg,2332353028549,2026-07-07 08:22:55.200299+00,f,t
13fb2689-e7f2-45c5-a7c0-6a7d6024a2f1,8ff53cd5-4fcc-4a94-9344-9f48ffdc264a,ALS26003,images - cvd__RJS_UnknownVRM_img_2_2.jpeg,2332365249469,2026-07-07 08:22:43.32856+00,f,t
595284ec-865f-4cc3-a92c-9077d36c9963,8ff53cd5-4fcc-4a94-9344-9f48ffdc264a,ALS26003,images - cvd__RJS_UnknownVRM_img_2_2.jpeg,2332365249469,2026-07-07 08:22:55.918485+00,f,t
b0232060-fa6d-4dd9-aa7b-6087e3af74bd,8ff53cd5-4fcc-4a94-9344-9f48ffdc264a,ALS26003,images - cvd__RJS_UnknownVRM_img_3_3.jpeg,2332338798657,2026-07-07 08:22:43.332291+00,f,t
d7f96499-4e0a-40d0-bff9-a3bb65d4661f,8ff53cd5-4fcc-4a94-9344-9f48ffdc264a,ALS26003,images - cvd__RJS_UnknownVRM_img_3_3.jpeg,2332338798657,2026-07-07 08:22:56.710197+00,f,t
d82c944e-2ead-40c0-87f4-fabe6b6a1ebb,f15b14d8-a336-460a-9786-d484c3536a9c,ALS26004,CVD__RJS_UnknownVRM_img_1_1.jpeg,2332641793712,2026-07-07 11:19:44.817673+00,f,t
7e9d8535-5eed-46db-9614-fbe3a2c1b75f,f15b14d8-a336-460a-9786-d484c3536a9c,ALS26004,CVD__RJS_UnknownVRM_img_1_1.jpeg,2332641793712,2026-07-07 11:19:55.56657+00,f,t
