case_id,case_po,base_name,lane,id,file_name,box_file_id,excluded,accepted_for_eva,image_role_code
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_6_32.jpeg,box,5e21ae72-e149-4c2b-bc77-202e2833167e,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_6_32.jpeg,2334987938343,t,f,100000002
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_7_37.jpeg,box,c6e7cbe8-7eb1-42a1-bc36-f68b2159999b,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_7_37.jpeg,2334993746071,f,t,100000002
eb5a8754-9a27-4964-aa6f-1e70920963e9,A.QDOS26038,bodyshopsuppreport-v1__rjs_unknownvrm_img_1_1.jpeg,box,e89efd95-bad0-4ed4-ae65-9f24f8675241,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_1_1.jpeg,2334994199317,f,f,100000003
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_5_22.jpeg,box,6fad6b0e-099a-4b06-810c-1deef9ace8c2,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_5_22.jpeg,2334991976973,f,t,100000002
eb5a8754-9a27-4964-aa6f-1e70920963e9,A.QDOS26038,repairinvoice-v1__rjs_unknownvrm_img_2_3.png,box,a4cf8dff-fc7c-4efe-ba37-7aaa007a4ec1,Repairinvoice-V1__RJS_UnknownVRM_img_2_3.png,2334993292471,f,f,100000003
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_5_26.jpeg,box,ec0e28f5-9fef-45bc-a556-47d9fb368968,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_5_26.jpeg,2334997372655,t,f,100000001
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_5_27.jpeg,box,fc8dfcbd-2c27-45b9-af2b-dbaeab37a588,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_5_27.jpeg,2334994868544,f,t,100000001
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_7_38.jpeg,box,723e3943-c432-45da-9c0e-206f0e6b545b,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_7_38.jpeg,2334992272094,f,t,100000000
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_8_44.jpeg,box,b4742884-3479-4ccd-acf8-9981f50ce1fd,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_8_44.jpeg,2334997151309,f,t,100000002
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_8_45.jpeg,box,dde3e3b3-a382-47e0-9a36-b52c53079fa3,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_8_45.jpeg,2334994713349,f,f,100000003
97087d47-422b-4a16-875f-fc7ebf71e801,A.QDOS26037,bodyshopsuppreport-v1__rjs_unknownvrm_img_9_53.jpeg,box,8d25ec8e-4f45-48ae-9b98-e6ad6ba98b18,Bodyshopsuppreport-V1__RJS_UnknownVRM_img_9_53.jpeg,2334997417955,f,f,100000003
21d20c06-0119-4856-a1d1-48dc8b272703,WLS26001,photos for engineers report (35).jpeg,box,827bb95e-4c80-44dc-b65a-30ab0556097e,PHOTOS FOR ENGINEERS REPORT (35).jpeg,2335006670021,f,t,100000002
21d20c06-0119-4856-a1d1-48dc8b272703,WLS26001,photos for engineers report (37).jpeg,box,f9c5b113-1a80-49f6-aa8d-47d2b5c34fac,PHOTOS FOR ENGINEERS REPORT (37).jpeg,2335006220974,f,t,100000002
21d20c06-0119-4856-a1d1-48dc8b272703,WLS26001,photos for engineers report (1).jpeg,box,cde08a68-0df3-40be-a283-171813e31afd,PHOTOS FOR ENGINEERS REPORT (1).jpeg,2335004221218,f,t,100000002
21d20c06-0119-4856-a1d1-48dc8b272703,WLS26001,photos for engineers report (2).jpeg,box,98e3e4fe-85cb-47f0-a8a6-d663f52e367e,PHOTOS FOR ENGINEERS REPORT (2).jpeg,2335006981815,f,t,100000002
21d20c06-0119-4856-a1d1-48dc8b272703,WLS26001,photos for engineers report (8).jpeg,box,524183e8-4a7b-46ec-bce2-b2b2c4156012,PHOTOS FOR ENGINEERS REPORT (8).jpeg,2335002153130,f,t,100000002
2b69e2d6-7348-4906-b535-16b6fc6a4e5a,A.QDOS26039,ltrtoengineerin__rjs_unknownvrm_img_1_2.jpeg,box,d0be8577-0cc5-4d33-84f3-f938d885f89b,LtrtoEngineerIn__RJS_UnknownVRM_img_1_2.jpeg,2335004242815,f,f,100000003
2b69e2d6-7348-4906-b535-16b6fc6a4e5a,A.QDOS26039,clientvehicledamages-v1.jpg,box,5a273bc4-b47b-4f8d-b7cd-241590b9b33f,ClientVehicleDamages-V1.jpg,2335002662298,t,f,100000000
2b69e2d6-7348-4906-b535-16b6fc6a4e5a,A.QDOS26039,ltrtoengineerin__rjs_unknownvrm_img_1_1.png,box,2c0410e8-fa96-4ef9-865b-7f31e2354d3e,LtrtoEngineerIn__RJS_UnknownVRM_img_1_1.png,2335004634394,f,f,100000003
21d20c06-0119-4856-a1d1-48dc8b272703,WLS26001,photos for engineers report (13).jpeg,box,581b6eef-3387-48ee-a3ec-1f5b72926800,PHOTOS FOR ENGINEERS REPORT (13).jpeg,2335002196582,f,t,100000000
21d20c06-0119-4856-a1d1-48dc8b272703,WLS26001,photos for engineers report (27).jpeg,box,c2fa59cc-5508-4ef9-a7b2-27a8194df783,PHOTOS FOR ENGINEERS REPORT (27).jpeg,2335002453401,f,t,100000002
21d20c06-0119-4856-a1d1-48dc8b272703,WLS26001,photos for engineers report (38).jpeg,box,45dbc85b-926f-4ebf-ab74-6c0dea4134f4,PHOTOS FOR ENGINEERS REPORT (38).jpeg,2335003602833,f,t,100000002
8a0b32d6-560f-477d-9b22-6f5aafa0322f,AX26035,inspectionrequest_1075364__rjs_unknownvrm_img_1_2.png,box,3bf89168-c1cc-4a2e-a548-ed130e37b0d4,InspectionRequest_1075364__RJS_UnknownVRM_img_1_2.png,2335051177280,f,f,100000003
ee7500cb-ab06-464e-b09b-5f87a89a1a66,QDOS26069,clientvehicledamage1jpg-v1.jpg,box,25abd0a9-44b2-4598-a5e5-f417bb3ecc69,Clientvehicledamage1jpg-V1.jpg,2335685027817,t,f,100000001
ee7500cb-ab06-464e-b09b-5f87a89a1a66,QDOS26069,clientvehicledamage2jpg-v1.jpg,box,13d758cc-e6ce-4132-8fd4-b2d8af4449a8,Clientvehicledamage2jpg-V1.jpg,2335686109606,t,f,100000001
3b732916-8530-420c-9808-b89eaa06b6d7,A.PCH26019,577876__rjs_unknownvrm_img_7_36.jpeg,box,a8dd7fb9-f564-4cae-a630-bf6b119c2c3b,577876__RJS_UnknownVRM_img_7_36.jpeg,2334866473814,f,t,100000000
08854fe5-d25c-41e3-b691-754eaf50435e,A.PCH26024,577663__rjs_unknownvrm_img_3_14.jpeg,box,52896e3e-0f76-48ce-912b-a4b4d0c65891,577663__RJS_UnknownVRM_img_3_14.jpeg,2334908403723,f,t,100000000
08854fe5-d25c-41e3-b691-754eaf50435e,A.PCH26024,577663__rjs_unknownvrm_img_3_18.jpeg,box,de47c297-5a52-46ca-aff2-41b26c758a28,577663__RJS_UnknownVRM_img_3_18.jpeg,2334909933470,t,f,100000001
08854fe5-d25c-41e3-b691-754eaf50435e,A.PCH26024,577663__rjs_unknownvrm_img_11_61.jpeg,box,abe848b0-e606-4547-951e-525a5c1d78f2,577663__RJS_UnknownVRM_img_11_61.jpeg,2334911718715,f,t,100000002
3ce40e3c-1328-4666-a576-06cac39b8713,A.PCH26025,_ehr103245_engineers repair images_08161700__rjs_unknownvrm_img_5_26.jpeg,box,6c2d0075-5ba4-480a-989c-0582f88322cf,_EHR103245_Engineers Repair Images_08161700__RJS_UnknownVRM_img_5_26.jpeg,2334920478783,f,t,100000000
e06fa6e7-b105-44d6-929e-f0bded4bef6d,A.PCH26026,577824__rjs_unknownvrm_img_3_15.jpeg,box,b1ca5cf8-9c2a-43bc-a626-71aa2d805b4f,577824__RJS_UnknownVRM_img_3_15.jpeg,2334929267067,f,t,100000002
e06fa6e7-b105-44d6-929e-f0bded4bef6d,A.PCH26026,577824__rjs_unknownvrm_img_5_27.jpeg,box,6bf82e60-f22a-4df1-bea6-e4961a485bf4,577824__RJS_UnknownVRM_img_5_27.jpeg,2334926282176,f,t,100000001
