SET
id,file_name,content_type,kind_code
eb654beb-afff-455c-a3b6-f69c8925cfbb,AJB14044.AudatexMS.pdf,,100000000
ff41b93a-8e42-4f06-a6fb-0b1c5e8b33c6,message.eml,,100000000
7b221aa2-8991-499d-b7a1-b50eab8a3aef,Instructions to Engineer for Report.docx,,100000000
16017d8b-11bd-44bf-b554-ee335cd92224,message.eml,,100000000
b4362f06-af6b-4d15-9181-ac40b94c5e56,message.eml,,100000000
8864fdcc-ce87-4cc5-a5aa-37a79a58b9db,email-body.txt,,100000000
743fae97-bec9-41fe-86dc-8db79321e667,email-body.txt,,100000000
12c5b4f2-6fa8-4539-8747-92f78bef8848,LtrtoAuditEngin.pdf,,100000000
bed3b01b-f381-4760-b3ca-e43179810993,BodyshopEngimgs-V1.pdf,,100000000
6f254dfa-322a-4c0f-b901-5faeec43d89f,BosyshopSuppReport2-V1.pdf,,100000000
cf8dac49-815c-4f6c-8bae-816e75cfcd23,message.eml,,100000000
2dadaf62-3f46-482a-a71c-03249bcbc6f8,Engineer - Letter - Instructions.DOC,,100000000
b3ddd10f-69bf-41fe-b8ef-01ffeaec158b,message.eml,,100000000
3bdc31ad-fbe6-4027-a4a6-61db55a50342,email-body.txt,,100000000
4b508632-c805-497c-8324-be808462ded3,message.eml,,100000000
452cb108-d503-4fc0-aa52-ee36b1e5cfb2,Engineer - Letter - Instructions.DOC,,100000000
93a9b9ba-9eb6-4b2b-8d57-d19b9400870d,message.eml,,100000000
80aa6e32-6567-445a-8e71-b2c430201f19,email-body.txt,,100000000
edb21499-1a4f-45a3-b64b-9b28c1024c34,To Engineer with instructions.DOC,,100000000
f7d8f8f6-f9e7-4f29-bd9b-e6e72bd540f7,message.eml,,100000000
27e6e05b-18b0-46f2-ad03-2038fdb62c6f,message.eml,,100000000
31183d4d-aaea-42f5-9757-d888a8a5aa1c,email-body.txt,,100000000
